"name","city","address","principal_product","icis_id"
"H5 Data Centers (Chantilly)","Chantilly","4030 Lafayette Center Dr Ste A","data center","VA0000005105900761"
"Equinix LLC","Ashburn","44470 Chilum Pl","data center","VA0000005110700820"
"22995 Wilder Court LLC","Dulles","22995 Wilder Court","Data Center","VA0000005110700839"
"Zayo Group, LLC","Ashburn","21635 Red Rum Dr","Data Center","VA0000005110701009"
"VA1 Data Center","Ashburn","44664 Guilford Dr","Data Center","VA0000005110701039"
"Equinix, LLC - Ashburn","Ashburn","21551 Beaumeade Cir","Data Center","VA0000005110701036"
"Verizon Business Network Services, Inc.","Ashburn","22001 Loudoun County Pkwy","Data Center","VA0000005110700141"
"The Aerospace Corporation","Chantilly","14725 Lee Rd","Data Center","VA0000005105901099"
"SI NVA01 ABS, LLC","Sterling","22080 Pacific Blvd","Data Center","VA0000005110701057"
"Amazon Data Services, Inc. IAD 50 IAD 60 IAD-71  IAD-78 IAD-79 IAD-80","Ashburn","21271 Smith Switch Rd","Data Center","VA0000005110701047"
"Amazon Data Services, Inc. IAD-61, IAD-63, IAD-65,  IAD-86, IAD-155, IAD-600, IAD-018","Chantilly","43673 John Mosby Highway","Data Center","VA0000005110774080"
"CyrusOne Northern Virginia Data Center - Shaw Road","Sterling","511 Shaw Road","Data Center","VA0000005110774109"
"Amazon Data Services, Inc. IAD-62/68/81/83/93/609/614","Sterling","42911 Arcola Road","Data Center","VA0000005110774085"
"NTT Global Data Centers Americas, Inc. - VA2 Data Center","Ashburn","44610 Guilford Drive","Data Center","VA0000005110774094"
"NTT Global Data Centers Americas, Inc.","Ashburn","44245 Gigabit Plaza","Data Center","VA0000005110774120"
"Vantage Data Centers VA11, VA12, VA13, VA14, & VA15","Sterling","45194 Vantage Data Plaza","Data Center","VA0000005110774162"
"Amazon Data Services Inc IAD-120/121/122","Sterling","23825 Erins Run Drive","Data Center","VA0000005110774205"
"Digital Western Lands LLC","Sterling","43704 Efficiency Drive","Data Center","VA0000005110774212"
"Cologix ASH1","Ashburn","21745 Beaumeade Circle","Data Center","VA0000005110774235"
"Iskander (LC-1A) Jamshid (LC-1B) Kaveh (LC2) Lohrasp Ventures (LC3)","Ashburn","21955 Loudoun County Parkway","Data Center","VA0000005110774155"
"Amazon Data Services, Inc. IAD-140/141/143","Sterling","22890 Platform Plaza","Data Center","VA0000005110774184"
"Darab Ventures One, Two, Six LLC","Ashburn","22210 Loudoun County Parkway","Data Center","VA0000005110774234"
"Amazon Data Services IAD-156, IAD-157, IAD-158, IAD-159, and IAD-327","Chantilly","43920 Lone Cedar Lane","Data Center","VA0000005110774250"
"QTS Investment Properties Ashburn LLC","Sterling","22271 Broderick Drive","Data Center","VA0000005110774141"
"Vantage Data Centers VA2 LLC","Sterling","22435 Glenn Drive","Data Center","VA0000005110774242"
"Aligned Energy Data Centers (Ashburn), LLC","Ashburn","21890 Uunet Drive","Data Center","VA0000005110774169"
"CyrusOne Sterling IX/X/XI","Sterling","43290 Old Ox Road","Data Center","VA0000005110774173"
"Aligned Data Centers IAD03","Sterling","Relocation Drive","Data Center","VA0000005110774247"
"Amazon Data Services, Inc.  IAD-90 IAD-91 IAD-92","Sterling","45900 Pathfinder Way","Data Center","VA0000005110774121"
"Digital Realty (Digital Loudoun 3 & 4, LLC)","Ashburn","44274 Roundtable Plaza","Data Center","VA0000005110774126"
"Amazon Data Services IAD-215","Ashburn","44725 Gigabit Plaza","Data Center","VA0000005110774252"
"Digital Realty - Sterling Premiere LLC","Sterling","22588 Relocation Drive","Data Center","VA0000005110774264"
"Amazon Data Services, Inc. IAD-51 IAD-56 IAD-88  IAD-89","Sterling","45220 Prologis Plaza","Data Center","VA0000005110701053"
"QTS LLC - Ashburn-Shellhorn Data Center","Ashburn","22291 Shellhorn Road","Data Center","VA0000005110774197"
"Amazon Data Services, Inc.","Sterling","22370 & 22420 Kipper Drive","Data Center","VA0000005110774181"
"Yondr Data Center","Aldie","24171 Youngwood Lane","Data Center","VA0000005110774265"
"Equinix LLC - DC 13","Ashburn","22001 Loudoun County Parkway","Data Center","VA0000005110774147"
"Amazon Data Services Inc - IAD-163/164/174","Sterling","21099 Atlantic Boulevard","Data Center","VA0000005110774227"
"Hayden Technologies, LLC.","Leesburg","20491 Goose Landing Ln","Data Center","VA0000005110774163"
"Amazon Data Services, Inc. IAD-150 IAD-151 IAD-152","Chantilly","25430 Sutton Bay Plaza","Data Center","VA0000005110774174"
"CyrusOne Northern Virginia Data Center - Maries Road","Sterling","45905 Maries Road","Data Center","VA0000005110774164"
"Amazon Data Services, Inc. IAD-57 IAD-58","Sterling","28755 Relocation Drive","Data Center","VA0000005110701054"
"Sentinel Ashburn Nexus","Sterling","22262 Cloud Plaza","Data center","VA0000005110774156"
"ASH2 Lockridge Data Center - QTS Investment Properties Ashburn II LLC","Dulles","22426 Lockridge Rd","Data Center","VA0000005110774232"
"Wheeler Data Center","Sterling","42575 Arcola Blvd","Data Center","VA0000005110774152"
"Amazon Data Services Inc - IAD-134/135/136","Chantilly","3980 Virginia Mallory Drive","Data Center","VA0000005105974239"
"Microsoft Corporation – Leesburg Data Center (IAD01-02-03-04-05)","Leesburg","19935 Sycolin Road","Data Center","VA0000005110774220"
"Amazon Data Services Inc IAD-161, IAD-162, IAD-606, IAD-285, IAD-286, IAD-299, IAD-611","Ashburn","44254 Import Plaza","Data Center","VA0000005110774214"
"Amazon Data Services, Inc. IAD-114 IAD-115","Ashburn","20945 Loudoun County Parkway","Data Center","VA0000005110774150"
"Microsoft Blue Ridge (IAD11-12-13) Data Center","Aldie","24282 Quail Ridge Lane","Data Center","VA0000005110774221"
"Amazon Data Services, Inc. IAD-144  IAD-145","Sterling","22945 International Drive","Data Center","VA0000005110774153"
"Corporate Office Properties, L.P. - Park Center","Chantilly","14901 Conference Center Drive","Data Processing","VA0000005105901135"
"Equinix LLC (DC-21/DC-22)","Ashburn","22175 Beaumeade Circle","Data Center","VA0000005110774189"
"Amazon Data Services, Inc. IAD-116 IAD-117","Sterling","45781 Maries Road","Data Center","VA0000005110774170"
