"emissions_year","emission_value","icis_id","pollutant_name"
2024,0,"VA0000005108553113","Particulate Matter"
2024,0,"VA0000005108553113","Particulate Matter 10"
2024,0,"VA0000005108553113","Particulate Matter 2.5"
2024,0,"VA0000005108553114","Particulate Matter"
2024,0,"VA0000005108553114","Particulate Matter 10"
2024,0,"VA0000005108553114","Particulate Matter 2.5"
2024,0,"VA0000005108553112","Particulate Matter"
2024,0,"VA0000005108553112","Particulate Matter 10"
2024,0,"VA0000005108553112","Particulate Matter 2.5"
2024,0,"VA0000005108553131","Particulate Matter"
2024,0,"VA0000005108553131","Particulate Matter 10"
2024,NA,"VA0000005108553131","Particulate Matter 2.5"
2024,0.19921,"VA0000005108553123","Particulate Matter"
2024,0.095084,"VA0000005108553123","Particulate Matter 10"
2024,0.014652,"VA0000005108553123","Particulate Matter 2.5"
2024,0,"VA0000005108553124","Particulate Matter"
2024,0,"VA0000005108553124","Particulate Matter 10"
2024,NA,"VA0000005108553124","Particulate Matter 2.5"
2024,0,"VA0000005108553134","Particulate Matter"
2024,0,"VA0000005108553134","Particulate Matter 10"
2024,0,"VA0000005108553134","Particulate Matter 2.5"
2024,NA,"VA0000005102321759","Particulate Matter"
2024,0,"VA0000005102321759","Particulate Matter 10"
2024,0,"VA0000005102321759","Particulate Matter 2.5"
2024,0,"VA0000005102321758","Particulate Matter"
2024,0,"VA0000005102321758","Particulate Matter 10"
2024,NA,"VA0000005102321758","Particulate Matter 2.5"
2024,0,"VA0000005105111852","Nitrogen Oxide"
2024,0,"VA0000005105111852","Carbon Monoxide"
2024,NA,"VA0000005105111852","Particulate Matter 10"
2024,2.09,"VA0000005104100110","Tetrachloroethylene (Perchloroethylene)"
2024,26.8162431,"VA0000005104100110","Volatile Organic Compounds"
2024,0,"VA0000005100753085","Nitrogen Oxide"
2024,0,"VA0000005100753085","Particulate Matter"
2024,0,"VA0000005100753085","Volatile Organic Compounds"
2024,0,"VA0000005100753085","Hydrogen Sulfide"
2024,0,"VA0000005100753085","Sulfur Dioxide"
2024,0,"VA0000005100753085","Carbon Monoxide"
2024,0,"VA0000005100753085","Particulate Matter 10"
2024,0,"VA0000005100753085","Particulate Matter 2.5"
2024,8.3487,"VA0000005104153065","Nitrogen Oxide"
2024,8.278342,"VA0000005104153065","Particulate Matter"
2024,5.77155,"VA0000005104153065","Volatile Organic Compounds"
2024,0.39072,"VA0000005104153065","Ammonia"
2024,0,"VA0000005104153065","Biphenyl"
2024,0.0803964,"VA0000005104153065","Sulfur Dioxide"
2024,3.0801,"VA0000005104153065","Carbon Monoxide"
2024,6.105e-05,"VA0000005104153065","Lead"
2024,8.974312,"VA0000005104153065","Particulate Matter 10"
2024,8.974312,"VA0000005104153065","Particulate Matter 2.5"
2024,0.21978,"VA0000005104153065","Hexane"
2024,0.34575277,"VA0000005177500159","Particulate Matter"
2024,0.22205966,"VA0000005177500159","Carbon Monoxide"
2024,0,"VA0000005113981815","Volatile Organic Compounds"
2024,0.000729529,"VA0000005116381345","Particulate Matter"
2024,0.000709812,"VA0000005116381345","Particulate Matter 10"
2024,4.14057e-05,"VA0000005116381345","Particulate Matter 2.5"
2024,0,"VA0000005108553105","Particulate Matter"
2024,0,"VA0000005108553105","Particulate Matter 10"
2024,NA,"VA0000005108553105","Particulate Matter 2.5"
2024,0,"VA0000005108553107","Particulate Matter"
2024,0,"VA0000005108553107","Particulate Matter 10"
2024,NA,"VA0000005108553107","Particulate Matter 2.5"
2024,0.1726725,"VA0000005108553126","Particulate Matter"
2024,0.083013,"VA0000005108553126","Particulate Matter 10"
2024,0.0120771,"VA0000005108553126","Particulate Matter 2.5"
2024,16.03899,"VA0000005109700015","Nitrogen Oxide"
2024,0.172545,"VA0000005109700015","Phenol"
2024,0.481574725,"VA0000005109700015","Polychlorinated biphenyls (Aroclors)"
2024,0.306279905,"VA0000005109700015","Benzene"
2024,0.395145,"VA0000005109700015","Acrolein"
2024,62.6137208,"VA0000005109700015","Particulate Matter"
2024,71.8102815,"VA0000005109700015","Volatile Organic Compounds"
2024,0.517635,"VA0000005109700015","Acetaldehyde"
2024,1.8226125,"VA0000005109700015","Sulfur Dioxide"
2024,43.7427,"VA0000005109700015","Carbon Monoxide"
2024,16.044946008,"VA0000005109700015","Particulate Matter 10"
2024,10.1179747688,"VA0000005109700015","Particulate Matter 2.5"
2024,1.0109598,"VA0000005109700015","Formaldehyde"
2024,1.38923575,"VA0000005109700015","Hydrochloric acid (hydrogen chloride [gas only])"
2024,4.14108,"VA0000005109700015","Methanol"
2024,0.733002,"VA0000005176052609","Particulate Matter"
2024,0,"VA0000005176052609","Volatile Organic Compounds"
2024,0.733002,"VA0000005176052609","Particulate Matter 10"
2024,0.733002,"VA0000005176052609","Particulate Matter 2.5"
2024,0,"VA0000005108553110","Particulate Matter"
2024,0,"VA0000005108553110","Particulate Matter 10"
2024,0,"VA0000005108553110","Particulate Matter 2.5"
2024,0,"VA0000005108553111","Particulate Matter"
2024,0,"VA0000005108553111","Particulate Matter 10"
2024,0,"VA0000005108553111","Particulate Matter 2.5"
2024,0,"VA0000005108553130","Particulate Matter"
2024,0,"VA0000005108553130","Particulate Matter 10"
2024,0,"VA0000005108553130","Particulate Matter 2.5"
2024,0,"VA0000005108553117","Particulate Matter"
2024,0,"VA0000005108553117","Particulate Matter 10"
2024,0,"VA0000005108553117","Particulate Matter 2.5"
2024,0,"VA0000005108553115","Particulate Matter"
2024,0,"VA0000005108553115","Particulate Matter 10"
2024,0,"VA0000005108553115","Particulate Matter 2.5"
2024,0,"VA0000005108553129","Particulate Matter"
2024,0,"VA0000005108553129","Particulate Matter 10"
2024,0,"VA0000005108553129","Particulate Matter 2.5"
2024,0.1512014625,"VA0000005108553137","Particulate Matter"
2024,0.065553345,"VA0000005108553137","Particulate Matter 10"
2024,0.009161163,"VA0000005108553137","Particulate Matter 2.5"
2024,3.9627953996,"VA0000005100753103","Nitrogen Oxide"
2024,0.5647563315,"VA0000005100753103","Particulate Matter"
2024,0.0808079324,"VA0000005100753103","Volatile Organic Compounds"
2024,3.1024922185,"VA0000005100753103","Sulfur Dioxide"
2024,0.5881351872,"VA0000005100753103","Carbon Monoxide"
2024,0.3186083311,"VA0000005100753103","Particulate Matter 10"
2024,0.1572229262,"VA0000005100753103","Particulate Matter 2.5"
2024,7.714,"VA0000005107500018","Nitrogen Oxide"
2024,48.44593144,"VA0000005107500018","Particulate Matter"
2024,18.379771,"VA0000005107500018","Volatile Organic Compounds"
2024,17.815077,"VA0000005107500018","Sulfur Dioxide"
2024,29.4379601,"VA0000005107500018","Carbon Monoxide"
2024,10.14312799,"VA0000005107500018","Particulate Matter 10"
2024,0.0005481,"VA0000005107500018","Particulate Matter 2.5"
2024,14.6841070605,"VA0000005106900110","Particulate Matter"
2024,7.4777476786,"VA0000005106900110","Particulate Matter 10"
2024,0.2045499825,"VA0000005106900110","Particulate Matter 2.5"
2024,0,"VA0000005110511755","Particulate Matter"
2024,0,"VA0000005110511755","Particulate Matter 10"
2024,0,"VA0000005110511755","Particulate Matter 2.5"
2024,0,"VA0000005184081816","Particulate Matter"
2024,0,"VA0000005184081816","Particulate Matter 10"
2024,0,"VA0000005184081816","Particulate Matter 2.5"
2024,0,"VA0000005184081817","Particulate Matter"
2024,0,"VA0000005184081817","Particulate Matter 10"
2024,0,"VA0000005184081817","Particulate Matter 2.5"
2024,0,"VA0000005184081818","Particulate Matter"
2024,0,"VA0000005184081818","Particulate Matter 10"
2024,0,"VA0000005184081818","Particulate Matter 2.5"
2024,1.374,"VA0000005117774165","Volatile Organic Compounds"
2024,0.457095525,"VA0000005101581768","m-Xylene"
2024,0.0043091938,"VA0000005101581768","Particulate Matter"
2024,0.3269427,"VA0000005101581768","Volatile Organic Compounds"
2024,0.0021976888,"VA0000005101581768","Particulate Matter 10"
2024,0.0006463791,"VA0000005101581768","Particulate Matter 2.5"
2024,0,"VA0000005102321754","Particulate Matter"
2024,0,"VA0000005102321754","Particulate Matter 10"
2024,0,"VA0000005102321754","Particulate Matter 2.5"
2024,69.7285385,"VA0000005176000308","Nitrogen Oxide"
2024,9.283512919,"VA0000005176000308","Particulate Matter"
2024,98.810062399,"VA0000005176000308","Volatile Organic Compounds"
2024,5.7527437491,"VA0000005176000308","Ammonia"
2024,0.2163306,"VA0000005176000308","Sulfur Dioxide"
2024,34315.190806,"VA0000005176000308","Carbon Dioxide Equivalent"
2024,24.5689165,"VA0000005176000308","Carbon Monoxide"
2024,0.00013734,"VA0000005176000308","Lead"
2024,42.9827142904,"VA0000005176000308","Particulate Matter 10"
2024,42.9781833255,"VA0000005176000308","Particulate Matter 2.5"
2024,0.494388,"VA0000005176000308","Hexane"
2024,0,"VA0000005102321755","Particulate Matter"
2024,0,"VA0000005102321755","Particulate Matter 10"
2024,NA,"VA0000005102321755","Particulate Matter 2.5"
2024,0,"VA0000005102321756","Particulate Matter"
2024,0,"VA0000005102321756","Particulate Matter 10"
2024,NA,"VA0000005102321756","Particulate Matter 2.5"
2024,0.048389745,"VA0000005108553148","Particulate Matter"
2024,0.020965908,"VA0000005108553148","Particulate Matter 10"
2024,0.002838388,"VA0000005108553148","Particulate Matter 2.5"
2024,9.8283873,"VA0000005116500128","Nitrogen Oxide"
2024,1.1007336,"VA0000005116500128","Particulate Matter"
2024,1.1452426,"VA0000005116500128","Volatile Organic Compounds"
2024,0.15140174,"VA0000005116500128","Sulfur Dioxide"
2024,5.5293865,"VA0000005116500128","Carbon Monoxide"
2024,0,"VA0000005116500128","Lead"
2024,2.4559994,"VA0000005116500128","Particulate Matter 10"
2024,2.4559994,"VA0000005116500128","Particulate Matter 2.5"
2024,32.32510109,"VA0000005105300021","Particulate Matter"
2024,13.530264705,"VA0000005105300021","Particulate Matter 10"
2024,1.9198935615,"VA0000005105300021","Particulate Matter 2.5"
2024,0.08189,"VA0000005118700052","Nitrogen Oxide"
