OBJECTID,PEC_ID,Locality,Name,Owner_Applicant,Street_Address,Parcel_ID,Acres,Building_Sq_Ft,MW_reported,Construction_Type,Build_Status,Notes,Tax_Map_link,Source_link,Lat,Long,Date_Updated,Updated_By,Lat1,Watershed
1,PEC-CAR-0001/PEC-SPO-0003,Caroline County,Mattameade Tech Campus,Amazon Data Services Inc,Stonewall Jackson Road just east of the Mudd Tavern,27-A-4A,916.07,"4,500,000",,New,Proposed,Sister property to Spotsylvania campus- represents total square footage,,https://co.caroline.va.us/DocumentCenter/View/7255/RZ-02-2023-Orrock-Tech-Camus?bidId=,38.11464706,-77.49115332,2024-04-10,SEP,38.11464706,
2,PEC-CAR-0002,Caroline County,VALCO Data Center Park,VALCO CAROLINE COUNTY,Mt Airy Road,80-A-43,855.0,"1,216,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",,https://co.caroline.va.us/AgendaCenter/ViewFile/Item/5593?fileID=9447,37.92410305,-77.54387212,2024-04-10,SEP,37.92410305,
3,PEC-CAR-0003,Caroline County,Carmel Church Data Hub,W & F PARTNERS,Welcom Way Dr,82-14-A,97.0,"1,600,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",,https://co.caroline.va.us/DocumentCenter/View/9366/RZ-03-2023--Carmel-Church-Data-Hub,37.93932712,-77.47797277,2024-04-10,SEP,37.93932712,
4,PEC-CHE-0001,Chesterfield County,Digital Fortress: Richmond,CHIRISA RICHMOND LLC,1401 MEADOWVILLE TECH PARKWAY,823657720300000,74.8,"242,042",25.0,Complete,Existing,Formerly a Capital One data center - vacated and for sale,https://www.chesterfield.gov/828/Real-Estate-Assessment-Data#/Details/823657720300000,,37.36048164,-77.3274112,2024-04-10,SEP,37.36048164,
5,PEC-CHE-0002,Chesterfield County,Virginia Information Technologies Agency,SLK GLOBAL SOLUTIONS AMERICA,11751 MEADOWVILLE LANE,822656429800000,28.14,"192,195",,Complete,Existing,,https://www.chesterfield.gov/828/Real-Estate-Assessment-Data#/Details/822656429800000,,37.36041473,-77.33177783,2024-04-10,SEP,37.36041473,
6,PEC-CUL-0001,Culpeper County,Equinix,EQUINIX LLC,  18155 TECHNOLOGY DR,51-83A1,30.12,"370,000",,Complete,Existing,,https://gis.vgsi.com/culpeperva/Parcel.aspx?pid=10680,,38.45493884,-77.9782759,2024-04-10,SEP,38.45493884,
7,PEC-CUL-0002,Culpeper County,SWIFT,,,51       83F,,"90,000",,Complete,Existing,,,,38.45553926,-77.98348028,2024-04-10,SEP,38.45553926,
8,PEC-CUL-0003,Culpeper County,Cielo Digital Infrastructure,Cielo Digital Infrastructure,Cielo Digital Infrastructure,41-110,120.89,"1,400,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",https://gis.vgsi.com/culpeperva/Parcel.aspx?pid=3148,http://go.boarddocs.com/va/ccva/Board.nsf/goto?open&id=CWBKLL525B17,38.46678642,-77.96353121,2024-04-10,SEP,38.46678642,
9,PEC-CUL-0004,Culpeper County,CloudHQ,CloudHQ,14521 MCDEVITT DR,41-106D,98.56,"2,100,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",https://gis.vgsi.com/culpeperva/Parcel.aspx?pid=21853,"https://www.culpeperva.org/properties/cloudhq-culpeper/#:~:text=CloudHQ%2C%20a%20global%20data%20center,of%20critical%20IT%20load%20power.",38.46163914,-77.97761531,2024-04-10,SEP,38.46163914,
10,PEC-CUL-0005,Culpeper County,Copper Ridge,Copper Ridge Culpeper LLC,,,,"2,200,000",,New,Proposed,,,https://datacenterdynamics.com/en/news/amazon-granted-rezoning-approval-for-data-centers-in-culpeper-county-virginia/,38.46529475,-77.98738914,2024-04-10,SEP,38.46529475,
