OBJECTID,EY_PLA_ID,EMISSIONSYEAR,CPL_SHORT_NAME,EMISSION_VALUE,PLA_ICIS_ID,PLA_NAME,PLA_REG_NUM,CPL_POLLUTANT_NAME
1,44670,2024,PM,0,VA0000005108553113,James River Equipment - Ashland - Portable 53113,53113,Particulate Matter
2,44670,2024,PM 10,0,VA0000005108553113,James River Equipment - Ashland - Portable 53113,53113,Particulate Matter 10
3,44670,2024,PM 2.5,0,VA0000005108553113,James River Equipment - Ashland - Portable 53113,53113,Particulate Matter 2.5
4,44671,2024,PM,0,VA0000005108553114,James River Equipment - Ashland - Portable 53114,53114,Particulate Matter
5,44671,2024,PM 10,0,VA0000005108553114,James River Equipment - Ashland - Portable 53114,53114,Particulate Matter 10
6,44671,2024,PM 2.5,0,VA0000005108553114,James River Equipment - Ashland - Portable 53114,53114,Particulate Matter 2.5
7,44669,2024,PM,0,VA0000005108553112,James River Equipment - Ashland - Portable 53112,53112,Particulate Matter
8,44669,2024,PM 10,0,VA0000005108553112,James River Equipment - Ashland - Portable 53112,53112,Particulate Matter 10
9,44669,2024,PM 2.5,0,VA0000005108553112,James River Equipment - Ashland - Portable 53112,53112,Particulate Matter 2.5
10,44691,2024,PM,0,VA0000005108553131,James River Equipment - Ashland - Portable 53131,53131,Particulate Matter
11,44691,2024,PM 10,0,VA0000005108553131,James River Equipment - Ashland - Portable 53131,53131,Particulate Matter 10
12,44691,2024,PM 2.5,,VA0000005108553131,James River Equipment - Ashland - Portable 53131,53131,Particulate Matter 2.5
13,44681,2024,PM,0.19921,VA0000005108553123,James River Equipment - Ashland - Portable 53123,53123,Particulate Matter
14,44681,2024,PM 10,0.095084,VA0000005108553123,James River Equipment - Ashland - Portable 53123,53123,Particulate Matter 10
15,44681,2024,PM 2.5,0.014652,VA0000005108553123,James River Equipment - Ashland - Portable 53123,53123,Particulate Matter 2.5
16,44682,2024,PM,0,VA0000005108553124,James River Equipment - Ashland - Portable 53124,53124,Particulate Matter
17,44682,2024,PM 10,0,VA0000005108553124,James River Equipment - Ashland - Portable 53124,53124,Particulate Matter 10
18,44682,2024,PM 2.5,,VA0000005108553124,James River Equipment - Ashland - Portable 53124,53124,Particulate Matter 2.5
19,44694,2024,PM,0,VA0000005108553134,James River Equipment - Ashland - Portable 53134,53134,Particulate Matter
20,44694,2024,PM 10,0,VA0000005108553134,James River Equipment - Ashland - Portable 53134,53134,Particulate Matter 10
21,44694,2024,PM 2.5,0,VA0000005108553134,James River Equipment - Ashland - Portable 53134,53134,Particulate Matter 2.5
22,44707,2024,PM,,VA0000005102321759,Highway Equipment Company TOPP #52,21759,Particulate Matter
23,44707,2024,PM 10,0,VA0000005102321759,Highway Equipment Company TOPP #52,21759,Particulate Matter 10
24,44707,2024,PM 2.5,0,VA0000005102321759,Highway Equipment Company TOPP #52,21759,Particulate Matter 2.5
25,44706,2024,PM,0,VA0000005102321758,Highway Equipment Company TOPP #51,21758,Particulate Matter
26,44706,2024,PM 10,0,VA0000005102321758,Highway Equipment Company TOPP #51,21758,Particulate Matter 10
27,44706,2024,PM 2.5,,VA0000005102321758,Highway Equipment Company TOPP #51,21758,Particulate Matter 2.5
28,44450,2024,NOX,0,VA0000005105111852,Keyrock Energy LLC - KY 4 Deep Mine 41 - Nora,11852,Nitrogen Oxide
29,44450,2024,CO,0,VA0000005105111852,Keyrock Energy LLC - KY 4 Deep Mine 41 - Nora,11852,Carbon Monoxide
