OBJECTID,WA_WELEV,WA_SOURCE,WA_UPD_DATE,WA_TYPE,Shape_Length,Shape_Area,WA_LOUD_ID,agstype
1,0,3,2023/03/06 05:00:00+00,1,4042.04976345786,25438.9483942137,0,1
2,0,3,2023/03/06 05:00:00+00,7,224.695634463919,3300.26312500924,3123,7
3,0,3,2023/03/06 05:00:00+00,7,260.132733200328,4382.51357192754,0,7
4,0,3,2023/03/06 05:00:00+00,7,572.520494345229,21981.0084404688,0,7
5,0,3,2023/03/06 05:00:00+00,7,595.979937660231,21746.4128982653,0,7
6,0,3,2023/03/06 05:00:00+00,11,514.447060182459,6159.31855002817,644,11
7,0,3,2023/03/06 05:00:00+00,11,2089.46358895447,133467.731163573,0,11
8,940.1,3,2023/03/06 05:00:00+00,4,664.538786566658,17975.7252447187,0,4
9,520.1,3,2023/03/06 05:00:00+00,4,386.141614395156,7410.91988022207,0,4
10,555.3,3,2023/03/06 05:00:00+00,4,305.596975818759,5563.50221271443,0,4
11,509.4,3,2023/03/06 05:00:00+00,4,604.351049637303,15470.1307001549,4273,4
12,755.7,3,2023/03/06 05:00:00+00,4,421.469187494555,13159.1546743376,0,4
13,469.5,3,2023/03/06 05:00:00+00,4,1313.31481050664,120465.719041751,671,4
14,563.1,3,2023/03/06 05:00:00+00,4,153.749811666183,1573.75464296939,0,4
15,535.1,3,2023/03/06 05:00:00+00,4,600.689989061012,24020.3203905274,0,4
16,536.9,3,2023/03/06 05:00:00+00,4,720.562167467731,22879.7015886912,0,4
17,521.4,3,2023/03/06 05:00:00+00,4,721.906858081367,27353.4895237451,680,4
18,562.3,3,2023/03/06 05:00:00+00,4,350.012327417671,4515.99821126442,681,4
19,734.5,3,2023/03/06 05:00:00+00,4,365.108800062806,8960.84081114932,682,4
20,678.4,3,2023/03/06 05:00:00+00,4,1338.96305373088,111439.093018141,683,4
21,623.1,3,2023/03/06 05:00:00+00,4,699.80667996799,33320.3369421668,0,4
22,716.3,3,2023/03/06 05:00:00+00,4,267.002741751614,4906.98213203058,0,4
23,515.8,3,2023/03/06 05:00:00+00,4,528.090627448826,15425.0842663876,4235,4
24,656.9,3,2023/03/06 05:00:00+00,4,299.322009079922,5431.76068067589,0,4
25,461.1,3,2023/03/06 05:00:00+00,4,407.154732737646,7090.66642497088,3120,4
26,430.9,3,2023/03/06 05:00:00+00,4,309.655627771681,7268.65576814738,667,4
27,462.5,3,2023/03/06 05:00:00+00,4,640.312736645117,27823.8125998881,3014,4
28,563.2,3,2023/03/06 05:00:00+00,4,218.743528411081,3525.33020009178,3016,4
29,417.4,3,2023/03/06 05:00:00+00,4,629.749552809923,25563.8429044464,3017,4
30,518.6,3,2023/03/06 05:00:00+00,4,192.629467971851,2822.98010549718,0,4
31,485.2,3,2023/03/06 05:00:00+00,4,234.776484739114,3924.50969327337,0,4
32,573.5,3,2023/03/06 05:00:00+00,4,132.203680484505,1324.98394887499,4236,4
33,511.8,3,2023/03/06 05:00:00+00,4,235.942697979982,2848.32240712993,0,4
34,663.5,3,2023/03/06 05:00:00+00,4,1074.33818367849,64801.7833317137,0,4
35,787.9,3,2023/03/06 05:00:00+00,4,327.256717693088,7489.85855567628,0,4
36,782.7,3,2023/03/06 05:00:00+00,4,155.413745554842,1714.70579013805,0,4
37,689.3,3,2023/03/06 05:00:00+00,4,681.149599803231,28318.510190079,0,4
38,691.4,3,2023/03/06 05:00:00+00,4,103.40961786226,833.2135292632,0,4
39,923.6,3,2023/03/06 05:00:00+00,4,829.372630106474,38992.5009648531,0,4
40,736.6,3,2023/03/06 05:00:00+00,4,355.512542612214,8894.34975715794,0,4
41,945.9,3,2023/03/06 05:00:00+00,4,272.065873514772,4109.95169718679,0,4
42,640.9,3,2023/03/06 05:00:00+00,4,513.262068803941,16875.8832008214,0,4
43,584.2,3,2023/03/06 05:00:00+00,4,889.569391879816,35003.4898821624,0,4
44,656.4,3,2023/03/06 05:00:00+00,4,427.406828151158,11213.0613919204,0,4
45,640.2,3,2023/03/06 05:00:00+00,4,161.855770519001,1756.94705704194,0,4
46,882.8,3,2023/03/06 05:00:00+00,4,384.334878564986,8152.07039323798,0,4
47,662.1,3,2023/03/06 05:00:00+00,4,389.103851611063,11697.4783541107,0,4
48,681.1,3,2023/03/06 05:00:00+00,4,1995.60486292331,211997.658996733,0,4
49,510.7,3,2023/03/06 05:00:00+00,4,406.479138488147,9884.57783324376,0,4
50,836.6,3,2023/03/06 05:00:00+00,4,749.681278597958,28122.8178661846,0,4
51,583.3,3,2023/03/06 05:00:00+00,4,1284.34998769681,68917.8456603328,0,4
52,616.6,3,2023/03/06 05:00:00+00,4,189.98926405677,2079.06955946571,0,4
53,533.6,3,2023/03/06 05:00:00+00,4,214.510933037469,3551.58060002735,0,4
54,795.2,3,2023/03/06 05:00:00+00,4,741.273267245547,36949.0684904276,0,4
55,583.1,3,2023/03/06 05:00:00+00,4,418.133273898236,5216.37281990111,0,4
56,589.4,3,2023/03/06 05:00:00+00,4,475.038430526888,13395.9443683105,0,4
57,601.2,3,2023/03/06 05:00:00+00,4,877.632801825818,46014.9388419059,0,4
58,478.3,3,2023/03/06 05:00:00+00,4,1339.5046933309,102123.00933658,0,4
59,462.5,3,2023/03/06 05:00:00+00,4,1073.18267044137,73883.3436645863,0,4
60,549.1,3,2023/03/06 05:00:00+00,4,551.2071555802,18363.8604417299,0,4
61,523.5,3,2023/03/06 05:00:00+00,4,261.732236276019,5004.08132071523,0,4
62,545.2,3,2023/03/06 05:00:00+00,4,897.996720251715,34689.1042126179,0,4
63,570.7,3,2023/03/06 05:00:00+00,4,1133.11129532745,58049.5462281343,0,4
64,568.8,3,2023/03/06 05:00:00+00,4,376.921871187547,9693.57528787998,0,4
65,601.4,3,2023/03/06 05:00:00+00,4,302.909681826529,6345.24144580517,0,4
66,605.8,3,2023/03/06 05:00:00+00,4,232.536317421726,3433.6327763509,0,4
67,449.2,3,2023/03/06 05:00:00+00,4,246.402316107217,4228.24951793306,0,4
68,517.1,3,2023/03/06 05:00:00+00,4,575.25579651445,22403.7750244967,0,4
69,608.8,3,2023/03/06 05:00:00+00,4,342.695929091999,5757.91044562842,0,4
70,599.1,3,2023/03/06 05:00:00+00,4,335.049572824903,7189.80689010141,0,4
71,544.7,3,2023/03/06 05:00:00+00,4,221.68565552063,2202.57178055471,0,4
72,445.5,3,2023/03/06 05:00:00+00,4,815.160641593948,36154.2007358697,0,4
73,509.2,3,2023/03/06 05:00:00+00,4,571.089208662096,17131.8686221468,0,4
74,494.9,3,2023/03/06 05:00:00+00,4,921.864094170453,50582.1240235284,0,4
75,495.3,3,2023/03/06 05:00:00+00,4,378.19330397239,11262.4160261696,0,4
76,515.4,3,2023/03/06 05:00:00+00,4,309.532508248728,6266.07828588518,0,4
77,407.5,3,2023/03/06 05:00:00+00,4,243.910450466484,2456.99623193228,0,4
78,607.3,3,2023/03/06 05:00:00+00,4,99.3471696756495,671.929109772213,0,4
