"name","building_sq_ft","impervious_area","runoff"
"NV-8 CYRUSONE",154100,468374.65,995296.13125
"CYXTERA DC2 COLOCATION",89072,468374.65,995296.13125
"MARIES TECH PARK LLC",426710,468374.65,995296.13125
"45845 NOKES BLVD",79300,468374.65,995296.13125
"C1 NORTHERN VA - STERLING I-III",420000,468374.65,995296.13125
"CYXTERA COLOCATION",135500,468374.65,995296.13125
"Vantage V2 Campus 22318 Glenn Drive",565680,468374.65,995296.13125
"CPUS STERLING LP",441780,468374.65,995296.13125
"23005 INTERNATIONAL DR",169960,468374.65,995296.13125
"22945 INTERNATIONAL DR AWS",147900,468374.65,995296.13125
"DULLES NCP LLC",203200,468374.65,995296.13125
"WATERSIDE AWS",976046,468374.65,995296.13125
"NV-4 CYRUSONE LLC",128500,468374.65,995296.13125
"IAD2 Evoque Cyxtera",118541,468374.65,995296.13125
"VISA USA INC",365855,468374.65,995296.13125
"BEAUMEADE LC PHASE III LLC",147600,468374.65,995296.13125
"PowerHouse/AREP ABX-1",259194,468374.65,995296.13125
"DC 21/IAD 98",296380,468374.65,995296.13125
"GI TC 45360 SEVERN WAY LLC",126900,468374.65,995296.13125
"1304 SQUIRE CT",36000,468374.65,995296.13125
"21641 CHARLES VIEW DR",685682,468374.65,995296.13125
"QTS BRODERICK ACQUISITION CO LLC",427300,468374.65,995296.13125
"VERISIGN INC",64300,468374.65,995296.13125
"22370 KIPPER DR AWS",203460,468374.65,995296.13125
"NVA01 STACK INFRASTRUCTURE",180000,468374.65,995296.13125
"SENTINEL ASHBURN II",234100,468374.65,995296.13125
"VANTAGE DATA CENTERS VA11",253352,468374.65,995296.13125
"VANTAGE DATA CENTERS VA12",228606,468374.65,995296.13125
"DIGITAL LOUDOUN IV",800702,468374.65,995296.13125
"FR SUMMIT AWS",149200,468374.65,995296.13125
"MCP 22745 & 22755 RELOCATION DRIVE",251091,468374.65,995296.13125
"DCT DULLES PHASE II",75800,468374.65,995296.13125
"Aligned Energy Data Center",306224,468374.65,995296.13125
"DIGITAL STERLING PREMIER",258252,468374.65,995296.13125
"IAD76",138900,468374.65,995296.13125
"DATA CENTER BUILDING C",103000,468374.65,995296.13125
"IAD03",180355,468374.65,995296.13125
"QTS Ashburn-Moran",65058,468374.65,995296.13125
"22350 KIPPER DR AWS",203460,468374.65,995296.13125
"IAD3 Evoque Cyxtera",130400,468374.65,995296.13125
"IAD114",147600,468374.65,995296.13125
"21551 BEAUMEADE CIR",152400,468374.65,995296.13125
"ACC5 ACC6 Digital Realty",518449,468374.65,995296.13125
"44470 Chilum Place",100121,468374.65,995296.13125
"44490 CHILUM PL",87560,468374.65,995296.13125
"44520 HASTINGS DR",148717,468374.65,995296.13125
"21745 BEAUMEADE CIR",455793,468374.65,995296.13125
"MONTEREY DC ASSETS",164455,468374.65,995296.13125
"44790 PERFORMANCE CIR",672244,468374.65,995296.13125
"RAGING WIRE VA1",109300,468374.65,995296.13125
"BCORE COPT DC-15",446732,468374.65,995296.13125
"DBT-DATA ASHBURN HOLDING I",123200,468374.65,995296.13125
"DC 8 9 10 DE",429711,468374.65,995296.13125
"21955 LOUDOUN COUNTY PKWY",983994,468374.65,995296.13125
"DIGITAL REALTY ACC10",288400,468374.65,995296.13125
"44621 WAXPOOL RD",493504,468374.65,995296.13125
"CLOUD HQ LC3",585593,468374.65,995296.13125
"EQUINIX DC21",156458,468374.65,995296.13125
"21310 BEAUMEADE CIR",190250,468374.65,995296.13125
"H5 CAPITAL-ASHBURN",228816,468374.65,995296.13125
"ALIGNED DATA CENTER IAD01",368600,468374.65,995296.13125
"BLUE SLING ACC 9",362100,468374.65,995296.13125
"21320 BEAUMEADE CIR",190250,468374.65,995296.13125
"ACC7 Digital Realty",446500,468374.65,995296.13125
"Filigree Ct Campus",679455,468374.65,995296.13125
"IAD Round Table Campus Digital Realty",1564173,468374.65,995296.13125
"IAD 41, IAD 42, BLDG P",789300,468374.65,995296.13125
"QTS Lockridge ASH2 Quality Tech Lane DC2",252473,468374.65,995296.13125
"QTS Lockridge ASH2 Quality Tech Lane DC1",308630,468374.65,995296.13125
"21821 UUNET DR",438460,468374.65,995296.13125
"EQUINEX DC13",108300,468374.65,995296.13125
"ALIGNED ENERGY DATA CENTERS ASHBURN",107253,468374.65,995296.13125
"Red Rum Dr Campus Sabey Data Centers",400232,468374.65,995296.13125
"IAD3 DataBank",286800,468374.65,995296.13125
"QTS DATA CENTER ASH3-DC1",310717,468374.65,995296.13125
"ASH3 DC2",302180,468374.65,995296.13125
"IAD12",180000,468374.65,995296.13125
"IAD Digital Loudoun Plaza",1137740,468374.65,995296.13125
"IAD14",135000,468374.65,995296.13125
"43831 DEVIN SHAFRON DR",117000,468374.65,995296.13125
"IAD24",266742,468374.65,995296.13125
"DIGITAL-GCEAR1 ASHBURN",138600,468374.65,995296.13125
"AWS IAD61-IAD63 South Riding",778426,468374.65,995296.13125
"Sutton Bay",508000,468374.65,995296.13125
"Fadeley Campus",695321,468374.65,995296.13125
"IAD11",759405,468374.65,995296.13125
"ALLEGRO SOUTH CAMPUS",335638,468374.65,995296.13125
"IAD 01-04",809314,468374.65,995296.13125
